id,name,researcher,year,location,latitude,longitude,storage_id,outcrop_id,thinsection_id
1,SP6_CSV,JB,2021,Cabo S. Vicente,37.02294,-8.99541,1,1,1
2,SP7_CSV,JB,2021,Cabo S. Vicente,37.02327,-8.99521,1,1,2
3,SP8_PdA,JB,2021,Ponta dos Altos,37.02737,-8.98043,1,2,0
4,SP9_PdA,JB,2021,Ponta dos Altos,37.02731,-8.98031,1,2,3
5,SP10_PdA,JB,2021,Ponta dos Altos,37.02727,-8.98022,1,2,4
6,SP47_CdC,JB,2022,Casal da Colina,37.10376,-7.94561,1,3,0
7,RT82,TP,<2016,Cabo S. Vicente,N/A,N/A,1,1,29
8,SP3_CSV,JB,2021,Cabo S. Vicente,37.02324,-8.9954,1,1,0
9,SP11_PtA,JB,2021,Ponta dos Altos,37.00468,-8.93353,1,2,0
10,SP13_PBX,JB,2021,Praia de Belixe,37.02626,-8.96377,1,6,0
11,SP14_PBX,JB,2021,Praia de Belixe,37.02609,-8.96346,1,6,5
12,SP15_PBX,JB,2021,Praia de Belixe,37.02623,-8.96391,1,6,6
13,SP16_PBX,JB,2021,Praia de Belixe,37.02606,-8.96411,1,6,0
14,SP17_PBX,JB,2021,Praia de Belixe,37.02637,-8.96526,1,6,0
15,SP18_PBX,JB,2021,Praia de Belixe,37.02663,-8.96717,1,6,7
16,SP19_PBX,JB,2021,Praia de Belixe,37.02625,-8.96421,1,6,0
17,SP20_BLS,JB,2021,Belixe Sul,37.02818,-8.96326,1,7,0
18,SP21_BLS,JB,2021,Belixe Sul,37.02784,-8.96343,1,7,8
19,SP23_BLN,JB,2021,Belixe Norte,37.03654,-8.96175,1,8,9
20,SP24_CSV,JB,2021,Cabo S. Vicente,37.02342,-8.99481,1,1,10
21,SP27_CSV,JB,2021,Cabo S. Vicente,37.02254,-8.99352,1,1,11
22,SP28_ASP,JB,2021,Aspa,37.02791,-8.99109,1,9,12
23,SP29_ASP,JB,2021,Aspa,37.02719,-8.99076,1,9,0
24,SP30_FZF,JB,2021,Foz dos Fornos,37.02466,-8.98959,1,10,0
25,SP31_FZF,JB,2021,Foz dos Fornos,37.02465,-8.98963,1,10,0
26,SP32_FZF,JB,2021,Foz dos Fornos,37.02446,-8.98989,1,10,13
27,SP33_FZF,JB,2021,Foz dos Fornos,37.02444,-8.98969,1,10,14
28,SP34_PdA_a,JB,2021,Ponta dos Altos,37.02671,-8.9795,1,5,15
29,SP34_PdA_b,JB,2021,Ponta dos Altos,37.02671,-8.9795,1,5,16
30,SP35_BLX,JB,2021,Belixe,37.02642,-8.9688,1,11,0
31,SP36_PtA,JB,2021,Ponta da Atalaia,37.00231,-8.9313,1,2,17
32,SP37_PtA,JB,2021,Ponta da Atalaia,37.00455,-8.93335,1,2,0
33,SP39_AND,JB,2021,Andorinha,37.05941,-8.85058,1,12,18
34,SP40_FER_a,JB,2021,Ferrel,37.11245,-8.72567,1,13,19
35,SP40_FER_b,JB,2021,Ferrel,37.11245,-8.72567,1,13,0
36,SP41_FER,JB,2021,Ferrel,37.11269,-8.72624,1,13,0
37,SP48_CdC,JB,2022,Casal da Colina,37.10384,-7.94559,1,3,0
38,SP49_CdC,JB,2022,Casal da Colina,37.10384,-7.94559,1,3,0
39,SP50_CdC,JB,2022,Casal da Colina,37.10357,-7.94596,1,3,20
40,SP52_CdC,JB,2022,Casal da Colina,37.10367,-7.94622,1,3,21
41,SP53_GUI,JB,2022,Guilhim,37.09512,-7.93688,1,14,22
42,SP54_GUI,JB,2022,Guilhim,37.09512,-7.93667,1,14,23
43,SP55_CAL,JB,2022,Calicos,37.10339,-7.80087,1,15,24
44,SP56_JOR,JB,2022,Jordana,37.11549,-7.82989,1,4,25
45,SP57_JOR,JB,2022,Jordana,37.11571,-7.82931,1,4,0
46,SP58_JOR,JB,2022,Jordana,37.1156,-7.8292,1,4,26
47,SP59_JOR,JB,2022,Jordana,37.10745,-7.79687,1,4,27
48,SP61_PER,JB,2022,Peral,37.12805,-7.8485,1,16,28
49,SP62_OLV_a,JB,2022,Oliveiras,37.13375,-7.71372,1,17,0
50,SP62_OLV_b,JB,2022,Oliveiras,37.13375,-7.71372,1,17,0
51,SP63_OLV,JB,2022,Oliveiras,37.13467,-7.71415,1,17,0
52,SP64_OLV,JB,2022,Oliveiras,37.13469,-7.71416,1,17,0
53,SP65_MALH,JB,2022,Malhao,37.13827,-7.70908,1,18,0
54,SP66_MALH,JB,2022,Malhao,37.13827,-7.70908,1,18,0
55,SP67_DESCAM,JB,2022,Monte descampado,37.14232,-7.69188,1,19,0
56,SP68_PEDR,JB,2022,Pedreira,37.14399,-7.69642,1,20,0
57,SP69_MAR,JB,2022,Mareta,37.00581,-8.93712,1,21,0
58,SP22_BLS,JB,2021,Belixe Sul,37.0278,-8.96342,1,7,0
