id,geosamples_id,name_TODELETE,color,fabric,cortex,quality
1,1,SP6_CSV,"The color distribution is Single and the color is Light gray (2.5Y 7/2).
The color distribution is Single and the color is Light gray (2.5Y 7/2).",The luster is Dull and the translucency is Opaque. The feel is Semi-smooth to Rough and the grain is fine. The distribution of the fabric is Even.,The cortex is Outcrop type with a Gradual transition.,The fracture is Conchoidal with Fractures. The knapping quality is Medium.
2,2,SP7_CSV,"Color distribution is Mix sharp. The colors are Light yellowish brown (10YR 6/4), Dusky red (10R 3/4) and Light gray (10YR 7/1).",The luster is Dull and the translucency is Opaque. The feel is Semi-smooth and the grain is Fine. The structure is Uneven with an Abrupt variation. Patterns are Spots (50-99%) and Lines (1-49%). The spots are Marbled mottling with an Even distribution. The lines are Concentric Laminated.,"Cortex is from an Outcrop with a Gradual transition. When tested with dilute hydrochloric acid (HCL 10%), the reaction was weak. The parent rock may be a dolomite or a dolomitic limestone.",The fracture is Conchoidal and the surface is Homogeneous. The knapping quality is Medium.
3,3,SP8_PdA,"The color distribution is Mix sharp. The colors are Very pale brown (10YR 8/3), Light reddish gray (2.5YR 7/1) and Red (10R 4/6).","The luster is Dull and the translucency is Opaque. The feel is Semi-smooth and the grain is Fine. The distribution is Uneven, with an Abrupt variation. The patterns are Spots (50-99%). These are Broad mottling, Splotched and Speckling, with an Uneven distribution.","The cortex is from an Outcrop with a gradual transition. When tested with dilute hydrochloric acid (HCL 10%), the reaction was weak. The parent rock may be a dolomite or dolomitic limestone.",The fracture is Conchoidal and Uneven and the surface has fractures. The knapping quality is Low.
4,4,SP9_PdA,The color distribution is Single. The color is Brown (7.5YR 5/2).,"The luster is Shiny and the translucency is Opaque. The feel is Smooth and the grain is Fine. The distribution is Uneven with an Abrupt variation. The patterns are Spots (1-49%), which are Marbled mottling with an Uneven distribution.","The cortex has a gradual transition. When tested with dilute hydrochloric acid (HCL 10%), the reaction was Strong. The parent rock may be a Limestone.",The fracture is Conchoidal and the surface is Homogeneous. The knapping quality is Good.
5,5,SP10_PdA,The color distribution is Single. The color is Grayish brown (10YR 5/2).,The luster is Shiny and the translucency is Opaque. The feel is Smooth and the grain is Fine. The distribution is Even.,"The cortex is Outcrop type, with a sharp transition. When tested with dilute hydrochloric acid (HCL 10%), the reaction was Strong. The parent rock may be a Limestone.",The fracture is Conchoidal and the surface is Homogeneous. The knapping quality is good.
6,6,SP47_CdC,"Color distribution is Mix diffuse. Main colors are pale brown (10YR 6/3), light gray (10YR 7/2) and gray (10YR 6/1).","The sample has a Dull luster and is Opaque. The feel is semi-smooth and the grain is fine. There are areas where the grain is coarse and the feel is rough, possibly related to different levels of silicification. The structure is Uneven with a Gradual variation. The patterns are Shaded and Broad mottling (mostly regarding grain and feel and not color). The distribution of the spots is Uneven and they are present in 1-49% of the sample.","Cortex has an Outcrop type and ranges from Medium to Thick, with a mix of Sharp and Gradual transition.",The fracture type ranges from Conchoidal to Uneven and some areas have Fractures. The knapping quality ranges from Good to Medium.
7,7,RT82_PBLX,"Color distribution is Mixed sharp. The colors are Black (2.5Y 2.5/1), Grayish brown (2.5Y 5/2) and Light gray (2.5Y 7/2).","The luster is Shiny and the translucency ranges between Translucent and Sub-translucent. Light passes through at around 9.8 mm of thickness. The feel is Semi-smooth and the grain is Fine. The distribution is Uneven with a Gradual variation. Patterns are Spots (50-99%), which are Broad mottling, Splotched and Speckling, with an Uneven distribution.",N/A,The fracture type is Conchoidal and there are Fractures. The knapping quality is Good.
8,8,SP3_CSV,"The color distribution is Mix diffuse. The colors are Light olive brown (2.5Y 5/3), Gray (2.5Y 5/1) and Weak red (2.5YR 5/2).","The luster ranges between Medium and Dull and the translucency is Sub-translucent, with light passing through at 1.6 mm thickness. The feel is Semi-smooth and the grain is fine. The distribution is Uneven with a Gradual variation. The patterns are Shaded and Spots (50-99%), which are Marbled mottling with an Uneven distribution.","Cortex is Outcrop type, with a Gradual transition. The nodules are small and angular, within the parent rock. The parent rock shows various degrees of dolomitization, with areas where the nodules of chert are not clearly formed but the dolomite seems somewhat silicified, making it that the thickness of the cortex is variable, and the transition is gradual. The chert characteristics are limited to the fully silicified nodules within the parent rock. When tested with dilute hydrochloric acid (HCL 10%), the reaction was weak. The parent rock is a dolomite or a dolomitic limestone.",The fracture is Conchoidal and the surface is Homogeneous. The knapping quality is Medium.
9,9,SP11_PtA,The color distribution is Single. The color is white (10YR 8/1).,"The luster is Dull and the translucency is Opaque. The feel is Rough and the grain is Fine. The structure is Uneven, with a Gradual variation. Patterns are Spots (1-49%), which are Speckling with a Uneven distribution.","The cortex is rolled and very altered, probably the result of the secondary deposition setting. The thickness is Thin and with a Gradual transition. The outer areas of the chert seem to be very altered.",The fracture is Conchoidal and the surface is Homogeneous. The knapping quality is Medium.
10,10,SP13_PBLX,"The color distribution is Mix sharp. The colors are Dark purple, Weak red (10R 4/2) and White (5YR 8/1). ","The luster is Dull and the translucency is Opaque. The feel is Coarse and the grain is Fine. The structure is Uneven with an Abrupt variation. The patterns are Shaded, Spots (1-49%) and Lines (1-49%). The spots are Speckling with an Even distribution. The Lines are Horizontal Laminated.","The presence of cortex is difficult to access. The dolomitization within the chert makes the limits between the chert and the dolomite difficult to ascertain. When tested with dilute hydrochloric acid (HCL 10%), there was no reaction. The parent rock is a dolomite.",The fracture is Uneven and the surface has Fractures. The knapping quality is Low.
