id,geosamples_id,photoname,caption,identifier
1,7,RT82_001,General view of the chert with unidentifiable fossils. There is a visible burrow-like structure.,petrography
2,7,RT82_002,"Contact between two areas of the chert, characterized by a different color, and an unidentified fossil in the center.",petrography
3,7,RT82_003,"Detail of an unidentifiable fossil ghost, replaced by two generations of chalcedony and opaque minerals.",petrography
4,1,SP6_001,General view of oxides and a possible Echinoderm spine.,petrography
5,1,SP6_002,Ghosts with quartz filling.,petrography
6,1,SP6_003,Limit between chert and dolomitic limestone (cortex).,petrography
7,1,SP6_004,Possible Echinoderm spine.,petrography
8,1,SP6_005,Detail of rhomboid dolomite crystals close to the edge of the sample.,petrography
9,2,SP7_001,Echinoid spine.,petrography
10,2,SP7_002,Concentration of oxides.,petrography
11,2,SP7_003,Ghosts,petrography
12,2,SP7_004,Cortex composed of dolomite/calcite.,petrography
13,4,SP9_001,View of different zones in the chert.,petrography
14,4,SP9_002,Unknown fossil.,petrography
15,5,SP10_001,Burrow,petrography
16,5,SP10_002,Detail of burrow and dolomite crystals in the edges.,petrography
17,11,SP14_001,Fossil filled with fibrous chalcedony.,petrography
18,11,SP14_002,General view of the packstone texture.,petrography
19,12,SP15_001,"An unidentifiable fossil filled with two generations of quartz: the 1st generation is the outer, microcrystalline quartz “shell”, and the 2nd generation is the macrocrystalline quartz grain within the fossil.",petrography
20,12,SP15_002,,petrography
21,12,SP15_003,Diffuse boundary area between the dolomite and chert.,petrography
22,12,SP15_004,"Poorly preserved unidentifiable fossil. The fossil is composed of two generations of filling: 1st generation is an outer layer of quartz, and the 2nd generation is the fossil filling by dolomite rhomboid crystals. The porosity within the fossil seems to represent a 3rd generation, and the porosity is surrounded by an oxide patina.",petrography
23,12,SP15_005,"View of poorly preserved fossils and a fracture. The fossils in the photo are mono typical, with spherical shapes and similar sizes.",petrography
24,12,SP15_006,"View of a long fossil where two generations of quartz can be identified: a 1st generation at the edges of the fossil, possibly preserving some structure, and a 2nd generation of macrocrystalline quartz within. In the photo there are also circular fossils filled with fibrous chalcedony.",petrography
25,15,SP18_001,Iron concentrations and peloids.,petrography
26,18,SP21_001,"View of fossils, structure and flaw filled with oxides.",petrography
27,19,SP23_001,Fossil or porosity filled with three generations of quartz and chalcedony.,petrography
28,19,SP23_002,Poorly preserved fossil with quartz and oxide fill.,petrography
29,19,SP23_003,General view of thin section.,petrography
