id,geosample_id,photoname,caption
1,8,SP3_CSV_001,
2,8,SP3_CSV_002,
3,8,SP3_CSV_003,
4,8,SP3_CSV_004,
5,8,SP3_CSV_005,
6,8,SP3_CSV_006,
7,1,SP6_CSV_001,
8,1,SP6_CSV_002,
9,1,SP6_CSV_003,
10,1,SP6_CSV_004_block,
11,1,SP6_CSV_005_block,
12,1,SP6_CSV_006_block,
13,2,SP7_CSV_001_block,
14,2,SP7_CSV_002_block,
15,2,SP7_CSV_003_block,
16,20,SP24_CSV_001,
17,20,SP24_CSV_002,
18,21,SP27_CSV_001,
19,21,SP27_CSV_002,
20,21,SP27_CSV_003,
21,21,SP27_CSV_004,
22,23,SP29_ASP_001,
23,23,SP29_ASP_002,
24,23,SP29_ASP_003,
25,23,SP29_ASP_004,
26,23,SP29_ASP_005,
27,23,SP29_ASP_006,
28,24,SP30_FZF_001,
29,24,SP30_FZF_002,
30,24,SP30_FZF_003,
31,24,SP30_FZF_004,
32,24,SP30_FZF_005,
33,24,SP30_FZF_006,
34,24,SP30_FZF_007,
35,24,SP30_FZF_008,
36,24,SP30_FZF_009,
37,24,SP30_FZF_010,
38,25,SP31_FZF_001,
39,25,SP31_FZF_002,
40,25,SP31_FZF_003,
41,25,SP31_FZF_004,
42,25,SP31_FZF_005,
43,25,SP31_FZF_006,
44,25,SP31_FZF_007,
45,26,SP32_FZF_001,
46,26,SP32_FZF_002,
47,26,SP32_FZF_003,
48,26,SP32_FZF_004,
49,26,SP32_FZF_005,
50,26,SP32_FZF_006,
51,26,SP32_FZF_007,
52,26,SP32_FZF_008,
53,26,SP32_FZF_009,
54,27,SP33_FZF_001,
55,27,SP33_FZF_002,
56,27,SP33_FZF_003,
57,27,SP33_FZF_004,
58,27,SP33_FZF_005,
59,27,SP33_FZF_006,
60,27,SP33_FZF_007_block,
61,27,SP33_FZF_008_block,
62,27,SP33_FZF_009_block,
63,27,SP33_FZF_010_block,
64,27,SP33_FZF_011,
65,3,SP8_PdA_001,
66,3,SP8_PdA_002,
67,3,SP8_PdA_003,
68,3,SP8_PdA_004,
69,3,SP8_PdA_005,
70,3,SP8_PdA_006,
71,4,SP9_PdA_001,
72,4,SP9_PdA_002_block,
73,4,SP9_PdA_003_block,
74,4,SP9_PdA_004_block,
75,4,SP9_PdA_005_block,
76,4,SP9_PdA_006_block,
77,4,SP9_PdA_007,
78,5,SP10_PdA_001,
79,5,SP10_PdA_002,
80,5,SP10_PdA_003,
81,5,SP10_PdA_004_block,
82,5,SP10_PdA_005,
83,7,RT82_001,
84,7,RT82_002_block,
85,7,RT82_003_block,
86,9,SP11_PtA_001,
87,9,SP11_PtA_002,
88,9,SP11_PtA_003,
89,10,SP13_PBX_001,
90,10,SP13_PBX_002,
91,10,SP13_PBX_003,
92,11,SP14_PBX_001,
93,11,SP14_PBX_002,
94,11,SP14_PBX_003,
95,11,SP14_PBX_004,
96,11,SP14_PBX_005,
97,11,SP14_PBX_006,
98,11,SP14_PBX_007,
99,11,SP14_PBX_008,
100,11,SP14_PBX_009,
101,11,SP14_PBX_010,
102,11,SP14_PBX_011,
103,11,SP14_PBX_012_block,
104,11,SP14_PBX_013_block,
105,11,SP14_PBX_014_block,
106,12,SP15_PBX_001,
107,12,SP15_PBX_002,
108,12,SP15_PBX_003,
109,12,SP15_PBX_004,
110,12,SP15_PBX_005,
111,12,SP15_PBX_006,
112,12,SP15_PBX_007,
113,12,SP15_PBX_008_block,
114,12,SP15_PBX_009_block,
115,12,SP15_PBX_010_block,
116,12,SP15_PBX_011_block,
117,12,SP15_PBX_012_block,
118,12,SP15_PBX_013_block,
119,13,SP16_PBX_001,
120,13,SP16_PBX_002,
