id,geosamples_id,photoname,caption
1,7,RT82_001_PPL,General view of the chert with unidentifiable fossils. There is a visible burrow-like structure.
2,7,RT82_002_PPL,"Contact between two areas of the chert, characterized by a different color, and an unidentified fossil in the center."
3,7,RT82_003_PPL,"Detail of an unidentifiable fossil ghost, replaced by two generations of chalcedony and opaque minerals."
4,1,SP6_CSV_001_PPL,General view of oxides and a possible Echinoderm spine.
5,1,SP6_CSV_002_PPL,Ghosts with quartz filling.
6,1,SP6_CSV_003_PPL,Limit between chert and dolomitic limestone (cortex).
7,1,SP6_CSV_004_PPL,Possible Echinoderm spine.
8,1,SP6_CSV_005_PPL,Detail of rhomboid dolomite crystals close to the edge of the sample.
9,2,SP7_CSV_001_PPL,Echinoid spine.
10,2,SP7_CSV_002_PPL,Concentration of oxides.
11,2,SP7_CSV_003_PPL,Ghosts
12,2,SP7_CSV_004_PPL,Cortex composed of dolomite/calcite.
13,4,SP9_PdA_001_PPL,View of different zones in the chert.
14,4,SP9_PdA_002_PPL,Unknown fossil.
15,5,SP10_PdA_001_PPL,Burrow
16,5,SP10_PdA_002_PPL,Detail of burrow and dolomite crystals in the edges.
17,11,SP14_PBX_001_PPL,Fossil filled with fibrous chalcedony.
18,11,SP14_PBX_002_PPL,General view of the packstone texture.
19,12,SP15_PBX_001_PPL,"An unidentifiable fossil filled with two generations of quartz: the 1st generation is the outer, microcrystalline quartz “shell”, and the 2nd generation is the macrocrystalline quartz grain within the fossil."
20,12,SP15_PBX_002_PPL,
21,12,SP15_PBX_003_PPL,Diffuse boundary area between the dolomite and chert.
22,12,SP15_PBX_004_PPL,"Poorly preserved unidentifiable fossil. The fossil is composed of two generations of filling: 1st generation is an outer layer of quartz, and the 2nd generation is the fossil filling by dolomite rhomboid crystals. The porosity within the fossil seems to represent a 3rd generation, and the porosity is surrounded by an oxide patina."
23,12,SP15_PBX_005_PPL,"View of poorly preserved fossils and a fracture. The fossils in the photo are mono typical, with spherical shapes and similar sizes."
24,12,SP15_PBX_006_PPL,"View of a long fossil where two generations of quartz can be identified: a 1st generation at the edges of the fossil, possibly preserving some structure, and a 2nd generation of macrocrystalline quartz within. In the photo there are also circular fossils filled with fibrous chalcedony."
25,15,SP18_PBX_001_PPL,Iron concentrations and peloids.
26,18,SP21_BLS_001_PPL,"View of fossils, structure and flaw filled with oxides."
27,19,SP23_BLN_001_PPL,Fossil or porosity filled with three generations of quartz and chalcedony.
28,19,SP23_BLN_002_PPL,Poorly preserved fossil with quartz and oxide fill.
29,19,SP23_BLN_003_PPL,General view of thin section.
30,20,SP24_CSV_001_PPL,"Unidentified fossil replaced by granular megacrystalline quartz, with an outer layer of microcrystalline quartz. Unidentified blue mineral."
31,20,SP24_CSV_002_PPL,General view of the thin section with representation of wackestone texture and massive microstructure.
32,20,SP24_CSV_003_PPL,"Different textures in the chert, probably due to differences in the cortex area or existence of dolomite."
33,20,SP24_CSV_004_PPL,"Detail of a fossil, possibly an echinoid spine."
